job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
1,SellerA,0,15,3,resize
2,SellerB,0,14,3,compress
3,SellerC,0,16,4,metadata_update
4,SellerD,1,13,3,resize
5,SellerA,2,2,1,thumbnail
6,SellerB,2,1,1,policy_check
7,SellerC,3,3,2,compress
8,SellerD,3,1,1,thumbnail
9,SellerA,4,2,2,metadata_update
10,SellerB,4,1,1,policy_check
11,SellerC,5,2,1,thumbnail
12,SellerD,5,3,3,compress
13,SellerA,6,1,1,policy_check
14,SellerB,6,2,2,thumbnail
15,SellerC,7,1,1,policy_check
16,SellerD,7,2,2,metadata_update
17,SellerA,8,1,1,thumbnail
18,SellerB,8,3,3,compress
19,SellerC,9,2,1,thumbnail
20,SellerD,9,1,1,policy_check
