job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
1,CONVOY,0,20,4,log_archiving
2,VIP,0,2,1,policy_check
3,VIP,1,3,2,resize
4,NORMAL,2,15,3,compress_long
5,NORMAL,2,4,3,compress_short
6,VIP,5,1,1,thumbnail
7,LOW,10,25,5,video_processing
8,VIP,11,2,1,thumbnail
9,VIP,12,3,2,resize
10,NORMAL,15,5,3,compress
11,VIP,16,2,1,policy_check
12,NORMAL,17,8,3,compress
13,NORMAL,17,3,3,compress_short
14,VIP,18,4,2,resize
15,LOW,20,18,4,log_rotation
16,VIP,22,1,1,thumbnail
17,NORMAL,25,6,3,compress
18,VIP,28,2,2,resize
19,LOW,30,1,5,cleanup
20,VIP,32,3,1,policy_check
