dataset,policy,workers,total_jobs,total_simulation_time,average_waiting_time,average_turnaround_time,throughput,worker_utilization,starvation_risk_jobs
jobs_100,FIFO,26,100,126,0.00,16.64,0.794,50.79,0
jobs_100,FIFO,27,100,126,0.00,16.64,0.794,48.91,0
jobs_100,FIFO,31,100,126,0.00,16.64,0.794,42.60,0
jobs_100,FIFO,36,100,126,0.00,16.64,0.794,36.68,0
jobs_100,FIFO,46,100,126,0.00,16.64,0.794,28.71,0
jobs_100,FIFO,76,100,126,0.00,16.64,0.794,17.38,0
jobs_100,FIFO,126,100,126,0.00,16.64,0.794,10.48,0
jobs_100,FIFO,226,100,126,0.00,16.64,0.794,5.84,0
jobs_100,SJF,26,100,126,0.00,16.64,0.794,50.79,0
jobs_100,SJF,27,100,126,0.00,16.64,0.794,48.91,0
jobs_100,SJF,31,100,126,0.00,16.64,0.794,42.60,0
jobs_100,SJF,36,100,126,0.00,16.64,0.794,36.68,0
jobs_100,SJF,46,100,126,0.00,16.64,0.794,28.71,0
jobs_100,SJF,76,100,126,0.00,16.64,0.794,17.38,0
jobs_100,SJF,126,100,126,0.00,16.64,0.794,10.48,0
jobs_100,SJF,226,100,126,0.00,16.64,0.794,5.84,0
jobs_100,Priority,26,100,126,0.00,16.64,0.794,50.79,0
jobs_100,Priority,27,100,126,0.00,16.64,0.794,48.91,0
jobs_100,Priority,31,100,126,0.00,16.64,0.794,42.60,0
jobs_100,Priority,36,100,126,0.00,16.64,0.794,36.68,0
jobs_100,Priority,46,100,126,0.00,16.64,0.794,28.71,0
jobs_100,Priority,76,100,126,0.00,16.64,0.794,17.38,0
jobs_100,Priority,126,100,126,0.00,16.64,0.794,10.48,0
jobs_100,Priority,226,100,126,0.00,16.64,0.794,5.84,0
jobs_1000,FIFO,176,1000,127,0.00,15.57,7.874,69.68,0
jobs_1000,FIFO,177,1000,127,0.00,15.57,7.874,69.28,0
jobs_1000,FIFO,181,1000,127,0.00,15.57,7.874,67.75,0
jobs_1000,FIFO,186,1000,127,0.00,15.57,7.874,65.93,0
jobs_1000,FIFO,196,1000,127,0.00,15.57,7.874,62.57,0
jobs_1000,FIFO,226,1000,127,0.00,15.57,7.874,54.26,0
jobs_1000,FIFO,276,1000,127,0.00,15.57,7.874,44.43,0
jobs_1000,FIFO,376,1000,127,0.00,15.57,7.874,32.61,0
jobs_1000,SJF,176,1000,127,0.00,15.57,7.874,69.68,0
jobs_1000,SJF,177,1000,127,0.00,15.57,7.874,69.28,0
jobs_1000,SJF,181,1000,127,0.00,15.57,7.874,67.75,0
jobs_1000,SJF,186,1000,127,0.00,15.57,7.874,65.93,0
jobs_1000,SJF,196,1000,127,0.00,15.57,7.874,62.57,0
jobs_1000,SJF,226,1000,127,0.00,15.57,7.874,54.26,0
jobs_1000,SJF,276,1000,127,0.00,15.57,7.874,44.43,0
jobs_1000,SJF,376,1000,127,0.00,15.57,7.874,32.61,0
jobs_1000,Priority,176,1000,127,0.00,15.57,7.874,69.68,0
jobs_1000,Priority,177,1000,127,0.00,15.57,7.874,69.28,0
jobs_1000,Priority,181,1000,127,0.00,15.57,7.874,67.75,0
jobs_1000,Priority,186,1000,127,0.00,15.57,7.874,65.93,0
jobs_1000,Priority,196,1000,127,0.00,15.57,7.874,62.57,0
jobs_1000,Priority,226,1000,127,0.00,15.57,7.874,54.26,0
jobs_1000,Priority,276,1000,127,0.00,15.57,7.874,44.43,0
jobs_1000,Priority,376,1000,127,0.00,15.57,7.874,32.61,0
jobs_10000,FIFO,352,10000,530,0.00,15.35,18.868,82.29,0
jobs_10000,FIFO,353,10000,530,0.00,15.35,18.868,82.06,0
jobs_10000,FIFO,357,10000,530,0.00,15.35,18.868,81.14,0
jobs_10000,FIFO,362,10000,530,0.00,15.35,18.868,80.02,0
jobs_10000,FIFO,372,10000,530,0.00,15.35,18.868,77.87,0
jobs_10000,FIFO,402,10000,530,0.00,15.35,18.868,72.06,0
jobs_10000,FIFO,452,10000,530,0.00,15.35,18.868,64.09,0
jobs_10000,FIFO,552,10000,530,0.00,15.35,18.868,52.48,0
jobs_10000,SJF,352,10000,530,0.00,15.35,18.868,82.29,0
jobs_10000,SJF,353,10000,530,0.00,15.35,18.868,82.06,0
jobs_10000,SJF,357,10000,530,0.00,15.35,18.868,81.14,0
jobs_10000,SJF,362,10000,530,0.00,15.35,18.868,80.02,0
jobs_10000,SJF,372,10000,530,0.00,15.35,18.868,77.87,0
jobs_10000,SJF,402,10000,530,0.00,15.35,18.868,72.06,0
jobs_10000,SJF,452,10000,530,0.00,15.35,18.868,64.09,0
jobs_10000,SJF,552,10000,530,0.00,15.35,18.868,52.48,0
jobs_10000,Priority,352,10000,530,0.00,15.35,18.868,82.29,0
jobs_10000,Priority,353,10000,530,0.00,15.35,18.868,82.06,0
jobs_10000,Priority,357,10000,530,0.00,15.35,18.868,81.14,0
jobs_10000,Priority,362,10000,530,0.00,15.35,18.868,80.02,0
jobs_10000,Priority,372,10000,530,0.00,15.35,18.868,77.87,0
jobs_10000,Priority,402,10000,530,0.00,15.35,18.868,72.06,0
jobs_10000,Priority,452,10000,530,0.00,15.35,18.868,64.09,0
jobs_10000,Priority,552,10000,530,0.00,15.35,18.868,52.48,0
