dataset,policy,workers,total_jobs,total_simulation_time,average_waiting_time,average_turnaround_time,throughput,worker_utilization,starvation_risk_jobs
jobs_100,FIFO,2,100,837,343.31,359.95,0.119,99.40,95
jobs_100,SJF,2,100,841,249.17,265.81,0.119,98.93,72
jobs_100,Priority,2,100,842,344.48,361.12,0.119,98.81,86
jobs_100,FIFO,4,100,430,142.79,159.43,0.233,96.74,85
jobs_100,SJF,4,100,425,103.24,119.88,0.235,97.88,58
jobs_100,Priority,4,100,430,143.81,160.45,0.233,96.74,78
jobs_100,FIFO,8,100,224,43.07,59.71,0.446,92.86,57
jobs_100,SJF,8,100,223,29.49,46.13,0.448,93.27,31
jobs_100,Priority,8,100,224,42.43,59.07,0.446,92.86,44
jobs_1000,FIFO,2,1000,7788,3831.38,3846.95,0.128,99.99,995
jobs_1000,SJF,2,1000,7796,2630.66,2646.23,0.128,99.88,914
jobs_1000,Priority,2,1000,7800,3847.12,3862.70,0.128,99.83,994
jobs_1000,FIFO,4,1000,3899,1885.15,1900.73,0.256,99.86,990
jobs_1000,SJF,4,1000,3904,1288.74,1304.31,0.256,99.73,871
jobs_1000,Priority,4,1000,3907,1893.02,1908.59,0.256,99.65,990
jobs_1000,FIFO,8,1000,1952,912.13,927.71,0.512,99.73,981
jobs_1000,SJF,8,1000,1959,619.40,634.97,0.510,99.37,802
jobs_1000,Priority,8,1000,1961,917.72,933.30,0.510,99.27,973
jobs_10000,FIFO,2,10000,76771,38101.01,38116.36,0.130,99.99,9994
jobs_10000,SJF,2,10000,76770,25728.50,25743.86,0.130,99.99,9346
jobs_10000,Priority,2,10000,76766,38256.16,38271.52,0.130,100.00,9995
jobs_10000,FIFO,4,10000,38395,18919.59,18934.94,0.260,99.97,9990
jobs_10000,SJF,4,10000,38391,12738.65,12754.00,0.260,99.98,9005
jobs_10000,Priority,4,10000,38391,18997.14,19012.49,0.260,99.98,9989
jobs_10000,FIFO,8,10000,19211,9328.87,9344.22,0.521,99.90,9979
jobs_10000,SJF,8,10000,19205,6247.59,6262.95,0.521,99.93,8654
jobs_10000,Priority,8,10000,19204,9367.81,9383.16,0.521,99.93,9973
