dataset,policy,workers,total_jobs,total_simulation_time,average_waiting_time,average_turnaround_time,throughput,worker_utilization,starvation_risk_jobs
jobs_100,FIFO,200,100,126,0.00,16.64,0.794,6.60,0
jobs_100,SJF,200,100,126,0.00,16.64,0.794,6.60,0
jobs_100,Priority,200,100,126,0.00,16.64,0.794,6.60,0
jobs_100,FIFO,201,100,126,0.00,16.64,0.794,6.57,0
jobs_100,SJF,201,100,126,0.00,16.64,0.794,6.57,0
jobs_100,Priority,201,100,126,0.00,16.64,0.794,6.57,0
jobs_100,FIFO,202,100,126,0.00,16.64,0.794,6.54,0
jobs_100,SJF,202,100,126,0.00,16.64,0.794,6.54,0
jobs_100,Priority,202,100,126,0.00,16.64,0.794,6.54,0
jobs_100,FIFO,203,100,126,0.00,16.64,0.794,6.51,0
jobs_100,SJF,203,100,126,0.00,16.64,0.794,6.51,0
jobs_100,Priority,203,100,126,0.00,16.64,0.794,6.51,0
jobs_100,FIFO,204,100,126,0.00,16.64,0.794,6.47,0
jobs_100,SJF,204,100,126,0.00,16.64,0.794,6.47,0
jobs_100,Priority,204,100,126,0.00,16.64,0.794,6.47,0
jobs_100,FIFO,205,100,126,0.00,16.64,0.794,6.44,0
jobs_100,SJF,205,100,126,0.00,16.64,0.794,6.44,0
jobs_100,Priority,205,100,126,0.00,16.64,0.794,6.44,0
jobs_100,FIFO,206,100,126,0.00,16.64,0.794,6.41,0
jobs_100,SJF,206,100,126,0.00,16.64,0.794,6.41,0
jobs_100,Priority,206,100,126,0.00,16.64,0.794,6.41,0
jobs_100,FIFO,207,100,126,0.00,16.64,0.794,6.38,0
jobs_100,SJF,207,100,126,0.00,16.64,0.794,6.38,0
jobs_100,Priority,207,100,126,0.00,16.64,0.794,6.38,0
jobs_100,FIFO,208,100,126,0.00,16.64,0.794,6.35,0
jobs_100,SJF,208,100,126,0.00,16.64,0.794,6.35,0
jobs_100,Priority,208,100,126,0.00,16.64,0.794,6.35,0
jobs_100,FIFO,209,100,126,0.00,16.64,0.794,6.32,0
jobs_100,SJF,209,100,126,0.00,16.64,0.794,6.32,0
jobs_100,Priority,209,100,126,0.00,16.64,0.794,6.32,0
jobs_100,FIFO,210,100,126,0.00,16.64,0.794,6.29,0
jobs_100,SJF,210,100,126,0.00,16.64,0.794,6.29,0
jobs_100,Priority,210,100,126,0.00,16.64,0.794,6.29,0
jobs_100,FIFO,211,100,126,0.00,16.64,0.794,6.26,0
jobs_100,SJF,211,100,126,0.00,16.64,0.794,6.26,0
jobs_100,Priority,211,100,126,0.00,16.64,0.794,6.26,0
jobs_100,FIFO,212,100,126,0.00,16.64,0.794,6.23,0
jobs_100,SJF,212,100,126,0.00,16.64,0.794,6.23,0
jobs_100,Priority,212,100,126,0.00,16.64,0.794,6.23,0
jobs_100,FIFO,213,100,126,0.00,16.64,0.794,6.20,0
jobs_100,SJF,213,100,126,0.00,16.64,0.794,6.20,0
jobs_100,Priority,213,100,126,0.00,16.64,0.794,6.20,0
jobs_100,FIFO,214,100,126,0.00,16.64,0.794,6.17,0
jobs_100,SJF,214,100,126,0.00,16.64,0.794,6.17,0
jobs_100,Priority,214,100,126,0.00,16.64,0.794,6.17,0
jobs_100,FIFO,215,100,126,0.00,16.64,0.794,6.14,0
jobs_100,SJF,215,100,126,0.00,16.64,0.794,6.14,0
jobs_100,Priority,215,100,126,0.00,16.64,0.794,6.14,0
jobs_100,FIFO,216,100,126,0.00,16.64,0.794,6.11,0
jobs_100,SJF,216,100,126,0.00,16.64,0.794,6.11,0
jobs_100,Priority,216,100,126,0.00,16.64,0.794,6.11,0
jobs_100,FIFO,217,100,126,0.00,16.64,0.794,6.09,0
jobs_100,SJF,217,100,126,0.00,16.64,0.794,6.09,0
jobs_100,Priority,217,100,126,0.00,16.64,0.794,6.09,0
jobs_100,FIFO,218,100,126,0.00,16.64,0.794,6.06,0
jobs_100,SJF,218,100,126,0.00,16.64,0.794,6.06,0
jobs_100,Priority,218,100,126,0.00,16.64,0.794,6.06,0
jobs_100,FIFO,219,100,126,0.00,16.64,0.794,6.03,0
jobs_100,SJF,219,100,126,0.00,16.64,0.794,6.03,0
jobs_100,Priority,219,100,126,0.00,16.64,0.794,6.03,0
jobs_100,FIFO,220,100,126,0.00,16.64,0.794,6.00,0
jobs_100,SJF,220,100,126,0.00,16.64,0.794,6.00,0
jobs_100,Priority,220,100,126,0.00,16.64,0.794,6.00,0
jobs_100,FIFO,221,100,126,0.00,16.64,0.794,5.98,0
jobs_100,SJF,221,100,126,0.00,16.64,0.794,5.98,0
jobs_100,Priority,221,100,126,0.00,16.64,0.794,5.98,0
jobs_100,FIFO,222,100,126,0.00,16.64,0.794,5.95,0
jobs_100,SJF,222,100,126,0.00,16.64,0.794,5.95,0
jobs_100,Priority,222,100,126,0.00,16.64,0.794,5.95,0
jobs_100,FIFO,223,100,126,0.00,16.64,0.794,5.92,0
jobs_100,SJF,223,100,126,0.00,16.64,0.794,5.92,0
jobs_100,Priority,223,100,126,0.00,16.64,0.794,5.92,0
jobs_100,FIFO,224,100,126,0.00,16.64,0.794,5.90,0
jobs_100,SJF,224,100,126,0.00,16.64,0.794,5.90,0
jobs_100,Priority,224,100,126,0.00,16.64,0.794,5.90,0
jobs_100,FIFO,225,100,126,0.00,16.64,0.794,5.87,0
jobs_100,SJF,225,100,126,0.00,16.64,0.794,5.87,0
jobs_100,Priority,225,100,126,0.00,16.64,0.794,5.87,0
jobs_100,FIFO,226,100,126,0.00,16.64,0.794,5.84,0
jobs_100,SJF,226,100,126,0.00,16.64,0.794,5.84,0
jobs_100,Priority,226,100,126,0.00,16.64,0.794,5.84,0
jobs_100,FIFO,227,100,126,0.00,16.64,0.794,5.82,0
jobs_100,SJF,227,100,126,0.00,16.64,0.794,5.82,0
jobs_100,Priority,227,100,126,0.00,16.64,0.794,5.82,0
jobs_100,FIFO,228,100,126,0.00,16.64,0.794,5.79,0
jobs_100,SJF,228,100,126,0.00,16.64,0.794,5.79,0
jobs_100,Priority,228,100,126,0.00,16.64,0.794,5.79,0
jobs_100,FIFO,229,100,126,0.00,16.64,0.794,5.77,0
