job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
1,B,40,24,4,compress
2,F,3,1,3,transcode
3,A,24,26,3,thumbnail
4,A,49,10,4,crop
5,A,99,16,1,transcode
6,D,25,24,1,crop
7,E,46,15,5,thumbnail
8,C,1,4,2,compress
9,H,81,23,3,transcode
10,D,98,19,3,transcode
11,A,59,26,2,crop
12,B,76,12,1,thumbnail
13,F,53,24,3,crop
14,F,90,3,2,crop
15,B,94,13,4,resize
16,G,95,25,3,policy_check
17,B,29,13,5,watermark
18,G,33,3,5,compress
19,G,47,1,5,resize
20,E,96,23,3,thumbnail
21,C,18,29,2,watermark
22,D,76,23,4,compress
23,G,58,16,1,watermark
24,H,71,14,1,thumbnail
25,B,30,11,3,thumbnail
26,F,6,3,1,compress
27,G,22,20,1,policy_check
28,A,43,14,5,crop
29,C,6,12,2,watermark
30,F,6,12,3,watermark
31,F,50,3,3,transcode
32,H,82,23,4,policy_check
33,B,87,20,1,compress
34,G,6,4,3,watermark
35,C,15,22,4,compress
36,C,91,19,1,thumbnail
37,G,7,14,1,crop
38,H,57,4,3,resize
39,C,2,3,5,crop
40,C,27,5,1,policy_check
41,D,93,17,2,compress
42,F,78,13,1,transcode
43,F,11,30,1,watermark
44,H,41,30,5,thumbnail
45,B,38,11,4,thumbnail
46,C,50,22,5,watermark
47,G,0,12,4,policy_check
48,H,66,8,5,crop
49,E,19,12,5,policy_check
50,E,95,14,5,watermark
51,F,85,26,5,transcode
52,B,39,29,5,policy_check
53,H,55,18,4,watermark
54,B,97,13,5,policy_check
55,C,89,6,3,watermark
56,B,39,15,4,transcode
57,E,56,11,1,resize
58,E,90,28,2,policy_check
59,D,89,4,4,crop
60,D,77,5,1,transcode
61,G,53,15,3,resize
62,D,33,18,4,compress
63,D,41,15,5,thumbnail
64,E,40,15,3,thumbnail
65,E,33,8,4,watermark
66,A,56,28,5,thumbnail
67,E,39,6,4,thumbnail
68,E,91,15,2,thumbnail
69,E,64,2,5,crop
70,D,57,8,4,resize
71,A,58,29,5,compress
72,C,7,18,3,resize
73,G,23,17,5,transcode
74,B,93,17,3,watermark
75,B,30,6,3,thumbnail
76,A,3,11,3,watermark
77,F,98,1,4,compress
78,G,1,20,4,thumbnail
79,H,2,12,1,thumbnail
80,E,86,30,3,thumbnail
81,B,81,14,2,crop
82,A,15,28,4,resize
83,E,7,25,3,thumbnail
84,H,44,11,4,compress
85,G,83,25,4,transcode
86,F,44,24,1,compress
87,G,88,10,1,thumbnail
88,A,9,22,3,watermark
89,F,72,22,5,crop
90,D,46,21,2,transcode
91,F,36,30,2,transcode
92,A,52,28,3,policy_check
93,F,33,23,2,policy_check
94,H,16,15,1,thumbnail
95,B,33,26,1,transcode
96,C,40,18,3,policy_check
97,H,26,10,5,policy_check
98,E,71,2,2,transcode
99,H,68,15,2,transcode
100,F,19,29,1,transcode
101,D,96,19,3,transcode
102,D,34,20,5,compress
103,E,48,29,2,policy_check
104,A,23,16,5,policy_check
105,D,31,13,4,resize
106,C,61,2,4,resize
107,H,7,14,4,thumbnail
108,B,65,22,4,policy_check
109,F,52,30,2,policy_check
110,D,97,23,1,transcode
111,A,60,15,4,resize
112,G,65,10,5,transcode
113,F,77,30,2,compress
114,A,67,19,1,crop
115,G,99,25,4,policy_check
116,D,7,16,3,resize
117,H,93,6,1,crop
118,F,12,17,3,thumbnail
119,A,68,12,4,compress
120,C,1,10,3,thumbnail
121,C,65,23,2,policy_check
122,G,9,16,2,policy_check
123,D,75,1,5,crop
124,G,32,8,2,policy_check
125,C,87,15,2,crop
126,B,42,14,2,resize
127,A,28,29,3,thumbnail
128,B,69,15,3,crop
129,H,12,4,4,thumbnail
130,B,42,5,2,crop
131,G,75,18,5,thumbnail
132,H,89,12,4,crop
133,D,95,5,2,crop
134,B,15,25,3,compress
135,B,98,12,4,policy_check
136,D,21,5,1,transcode
137,H,44,8,5,transcode
138,G,80,7,4,compress
139,B,87,29,2,compress
140,E,45,29,2,resize
141,D,53,25,3,crop
142,E,84,6,2,crop
143,E,65,9,2,resize
144,H,23,4,2,thumbnail
145,F,43,6,2,policy_check
146,C,16,2,5,resize
147,D,39,25,4,compress
148,B,44,21,5,compress
149,C,31,29,5,crop
150,F,35,7,1,thumbnail
151,G,24,23,4,thumbnail
152,D,20,3,5,transcode
153,F,36,4,3,thumbnail
154,D,55,14,5,resize
155,C,9,14,3,policy_check
156,G,78,11,5,watermark
157,B,49,4,2,crop
158,E,72,14,2,crop
159,B,25,6,1,resize
160,B,13,6,4,policy_check
161,E,1,23,3,watermark
162,A,47,18,1,transcode
163,C,4,10,4,thumbnail
164,D,59,11,5,watermark
165,D,12,25,1,transcode
166,A,70,13,3,resize
167,H,50,26,2,watermark
168,D,18,10,3,compress
169,C,18,15,4,watermark
170,F,71,11,5,crop
171,H,55,25,2,watermark
172,G,79,20,1,transcode
173,G,75,21,3,thumbnail
174,A,51,26,3,thumbnail
175,F,66,11,5,transcode
176,E,38,10,4,resize
177,E,92,7,5,compress
178,B,47,15,1,resize
179,H,39,20,4,resize
180,B,71,11,4,thumbnail
181,H,47,23,2,compress
182,C,56,4,2,compress
183,H,5,10,2,transcode
184,D,61,2,3,watermark
185,G,25,23,1,watermark
186,C,20,19,2,policy_check
187,F,89,4,3,resize
188,H,5,22,3,thumbnail
189,B,5,4,1,transcode
190,D,35,29,1,watermark
191,H,15,25,4,thumbnail
192,B,52,5,4,transcode
193,D,7,4,2,thumbnail
194,G,4,5,1,thumbnail
195,C,93,18,1,thumbnail
196,F,46,24,5,resize
197,H,48,19,5,crop
198,C,16,14,3,thumbnail
199,B,25,24,1,watermark
200,E,91,12,3,compress
201,B,78,21,4,policy_check
202,G,65,19,5,resize
203,E,27,8,1,policy_check
204,A,7,10,2,crop
205,C,41,29,2,transcode
206,D,36,13,5,thumbnail
207,H,72,18,1,thumbnail
208,D,25,2,3,watermark
209,H,65,20,4,watermark
210,B,4,21,3,compress
211,B,49,14,1,watermark
212,D,94,28,1,transcode
213,F,26,12,1,crop
214,E,20,28,3,compress
215,F,52,5,1,thumbnail
216,F,30,27,1,policy_check
217,G,84,15,3,watermark
218,B,89,25,1,transcode
219,E,50,15,4,policy_check
220,H,94,20,1,transcode
221,E,27,9,1,thumbnail
222,H,6,15,4,compress
223,B,7,22,1,thumbnail
224,A,77,26,3,policy_check
225,H,15,15,2,thumbnail
226,D,54,23,1,thumbnail
227,D,26,29,4,policy_check
228,A,48,14,5,compress
229,H,100,8,2,crop
230,E,19,7,5,watermark
231,A,37,12,2,resize
232,A,95,2,4,policy_check
233,E,20,7,3,policy_check
234,D,81,2,2,transcode
235,C,67,17,4,resize
236,D,69,30,5,resize
237,E,62,28,1,policy_check
238,G,65,25,3,resize
239,F,72,1,4,thumbnail
240,H,21,9,2,compress
241,G,49,1,5,thumbnail
242,B,26,16,3,resize
243,A,43,25,4,thumbnail
244,B,25,15,4,thumbnail
245,E,1,28,1,watermark
246,B,3,8,1,transcode
247,C,92,28,5,crop
248,B,74,26,2,watermark
249,C,99,14,1,compress
250,D,14,7,1,resize
251,G,84,6,5,transcode
252,F,36,6,3,compress
253,B,71,7,3,policy_check
254,F,18,26,1,thumbnail
255,C,99,27,5,resize
256,B,56,9,4,transcode
257,A,52,25,5,crop
258,B,0,15,5,resize
259,F,62,30,2,transcode
260,G,2,10,5,resize
261,A,30,17,3,thumbnail
262,B,79,2,4,watermark
263,H,51,9,2,policy_check
264,B,25,3,3,transcode
265,E,24,18,4,crop
266,B,65,16,5,resize
267,H,68,28,4,policy_check
268,H,76,4,5,transcode
269,B,16,22,1,thumbnail
270,G,40,7,4,transcode
271,F,61,2,1,watermark
272,F,74,18,2,policy_check
273,A,52,22,4,compress
274,D,12,18,2,thumbnail
275,D,83,5,3,transcode
276,H,96,12,1,resize
277,C,79,27,1,watermark
278,B,98,24,1,compress
279,C,62,18,5,resize
280,C,11,3,3,policy_check
281,C,45,19,4,thumbnail
282,E,92,12,1,policy_check
283,C,61,13,3,crop
284,G,77,24,1,crop
285,F,0,16,1,policy_check
286,H,59,3,5,watermark
287,B,8,12,2,transcode
288,F,96,2,4,policy_check
289,H,2,19,3,compress
290,F,16,18,3,watermark
291,H,18,26,1,transcode
292,C,38,23,3,resize
293,B,51,10,3,thumbnail
294,C,64,18,2,transcode
295,E,40,14,4,transcode
296,H,63,1,5,thumbnail
297,F,48,11,3,crop
298,D,93,29,4,compress
299,D,2,28,1,thumbnail
300,F,93,16,4,thumbnail
301,D,2,8,4,crop
302,B,27,17,3,compress
303,B,28,3,3,compress
304,F,76,11,1,compress
305,A,81,9,4,compress
306,D,16,11,4,transcode
307,H,1,16,3,transcode
308,C,94,26,1,crop
309,F,55,9,1,resize
310,E,20,26,5,transcode
311,E,98,19,5,crop
312,H,25,14,5,watermark
313,B,51,27,4,resize
314,C,52,15,3,transcode
315,B,57,23,2,resize
316,C,94,17,3,thumbnail
317,F,41,9,2,resize
318,F,34,29,1,policy_check
319,F,34,11,4,policy_check
320,E,65,6,3,compress
321,G,59,13,2,thumbnail
322,B,31,21,3,thumbnail
323,A,78,7,2,policy_check
324,F,38,7,1,thumbnail
325,F,92,29,5,compress
326,B,51,14,3,crop
327,B,67,22,5,policy_check
328,E,87,30,4,thumbnail
329,E,44,5,2,crop
330,E,40,12,1,policy_check
331,D,95,4,1,crop
332,E,23,17,3,resize
333,D,84,30,4,crop
334,F,15,3,2,crop
335,A,80,13,3,crop
336,A,94,10,4,watermark
337,B,11,30,3,crop
338,H,84,5,5,watermark
339,G,43,13,5,thumbnail
340,C,81,30,4,transcode
341,D,16,5,1,crop
342,D,70,4,4,transcode
343,H,58,13,4,compress
344,B,94,28,4,thumbnail
345,B,5,2,1,crop
346,D,62,11,5,compress
347,D,0,22,1,policy_check
348,E,20,18,2,transcode
349,F,93,15,4,watermark
350,E,88,21,1,transcode
351,F,85,19,2,compress
352,H,22,5,4,resize
353,G,64,16,4,thumbnail
354,F,3,5,3,compress
355,H,50,8,2,crop
356,D,90,18,2,transcode
357,A,1,25,4,resize
358,B,67,11,1,resize
359,H,19,21,1,compress
360,G,15,10,1,policy_check
361,F,17,28,3,watermark
362,C,89,25,5,compress
363,A,16,28,5,crop
364,E,95,12,2,thumbnail
365,F,77,18,5,thumbnail
366,G,44,21,1,watermark
367,B,38,13,1,thumbnail
368,F,85,18,4,resize
369,D,86,29,3,resize
370,B,88,10,4,thumbnail
371,E,34,21,1,crop
372,B,50,3,4,watermark
373,A,64,21,4,resize
374,F,41,7,4,transcode
375,A,61,8,1,policy_check
376,C,33,11,3,resize
377,B,10,11,4,resize
378,C,18,16,4,compress
379,D,1,28,5,thumbnail
380,G,34,26,2,transcode
381,A,48,25,4,resize
382,D,66,14,5,transcode
383,E,18,21,4,policy_check
384,D,31,19,5,compress
385,B,16,7,4,transcode
386,C,99,16,3,resize
387,B,13,14,4,compress
388,F,21,12,3,thumbnail
389,C,84,24,4,transcode
390,B,85,1,5,crop
391,F,25,5,2,watermark
392,C,19,19,1,watermark
393,B,52,8,1,compress
394,C,65,22,5,crop
395,G,65,1,3,thumbnail
396,B,6,27,2,watermark
397,A,89,18,5,compress
398,D,92,17,4,thumbnail
399,A,77,8,5,watermark
400,D,95,21,3,resize
401,B,80,21,3,crop
402,B,25,25,5,transcode
403,H,25,5,4,resize
404,G,32,29,4,thumbnail
405,B,47,14,3,policy_check
406,F,9,9,3,resize
407,B,79,28,5,crop
