job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
1,A,0,5,2,resize
2,B,1,4,3,thumbnail
3,C,2,6,1,compress
4,A,3,5,2,policy_check
5,D,4,4,3,metadata_update
6,B,5,5,1,resize
7,C,6,6,2,thumbnail
8,A,7,4,3,compress
9,D,8,5,1,policy_check
10,B,9,6,2,resize
11,C,10,4,3,metadata_update
12,A,11,5,1,thumbnail
13,D,12,5,2,compress
14,B,13,4,3,resize
15,C,14,6,1,policy_check
16,A,15,5,2,metadata_update
17,D,16,4,3,resize
18,B,17,5,1,thumbnail
19,C,18,5,2,compress
20,A,19,6,3,policy_check
21,D,20,4,1,resize
22,B,21,5,2,metadata_update
23,C,22,5,3,thumbnail
24,A,23,4,1,compress
25,D,24,6,2,resize
26,B,25,5,3,policy_check
27,C,26,4,1,metadata_update
28,A,27,5,2,resize
29,D,28,5,3,thumbnail
30,B,29,4,1,compress
