job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
1,A,0,30,2,compress
2,B,1,1,2,thumbnail
3,C,2,2,3,resize
4,D,3,1,1,metadata_update
5,A,4,28,2,policy_check
6,B,5,2,3,resize
7,C,6,1,1,thumbnail
8,D,7,2,2,compress
9,A,8,1,3,metadata_update
10,B,9,25,1,resize
11,C,10,1,2,thumbnail
12,D,11,2,3,compress
13,A,12,1,1,policy_check
14,B,13,2,2,resize
15,C,14,1,3,metadata_update
16,D,15,22,1,compress
17,A,16,2,2,resize
18,B,17,1,3,thumbnail
19,C,18,2,1,policy_check
20,D,19,1,2,resize
21,A,20,20,3,compress
22,B,21,1,1,thumbnail
23,C,22,2,2,metadata_update
24,D,23,1,3,resize
25,A,24,18,1,compress
26,B,25,2,2,policy_check
27,C,26,1,3,thumbnail
28,D,27,2,1,resize
29,A,28,1,2,metadata_update
30,B,29,15,3,compress
