job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
1,A,0,8,3,resize
2,B,0,7,3,thumbnail
3,C,0,9,3,compress
4,D,0,8,3,policy_check
5,A,1,7,3,metadata_update
6,B,2,8,3,resize
7,C,2,9,3,thumbnail
8,D,3,7,3,compress
9,A,4,8,3,policy_check
10,B,4,7,3,metadata_update
11,C,5,9,3,resize
12,D,6,8,3,thumbnail
13,A,7,7,3,compress
14,B,8,8,3,policy_check
15,C,8,9,3,metadata_update
16,D,10,5,1,resize
17,A,11,4,1,thumbnail
18,B,12,5,1,compress
19,C,13,4,1,policy_check
20,D,14,5,1,metadata_update
21,A,15,4,1,resize
22,B,16,5,1,thumbnail
23,C,17,4,1,compress
24,D,18,5,1,policy_check
25,A,19,4,1,metadata_update
26,B,25,3,2,resize
27,C,26,3,2,thumbnail
28,D,27,3,2,compress
29,A,28,3,2,policy_check
30,B,29,3,2,metadata_update
